序号,开始时间,结束时间
------------初次规划的时间------------
1,15,215.005
0,30,225.95
3,45,121.765
2,45,130.123
------------选择的处理节点------------
1,15,215.005
0,30,225.95
3,45,121.765
2,45,130.123
--------冲突消解中的规划时间--------
1,15,215.005
3,45,121.765
2,45,130.123
0,250,399.836
------------选择的处理节点------------
1,15,215.005
3,45,121.765
2,45,130.123
0,250,399.836
--------冲突消解中的规划时间--------
1,15,215.005
2,45,130.123
0,250,399.836
3,255,359.467
------------选择的处理节点------------
1,15,215.005
2,45,130.123
0,250,399.836
3,255,359.467
--------冲突消解中的规划时间--------
1,15,215.005
2,240,306.755
0,250,399.836
3,255,359.467
------------选择的处理节点------------
1,15,215.005
2,240,306.755
0,250,399.836
3,255,359.467
--------冲突消解中的规划时间--------
1,15,215.005
2,240,306.755
3,255,359.467
0,360,504.4
------------选择的处理节点------------
1,15,215.005
2,240,306.755
3,255,359.467
0,360,504.4
--------冲突消解中的规划时间--------
1,15,215.005
2,240,306.755
3,340,423.607
0,360,504.4
------------选择的处理节点------------
1,15,215.005
2,240,306.755
3,340,423.607
0,360,504.4
--------冲突消解中的规划时间--------
1,15,215.005
2,240,306.755
3,340,423.607
0,480,645.314
------------选择的处理节点------------
1,15,215.005
2,240,306.755
3,340,423.607
0,480,645.314
